,frame_length,num_frames,num_mels,total_power,dynamic_power,static_power,total_luts,fft_luts,lmfe_luts,total_ff,fft_ff,lmfe_ff,total_ramb18,fft_ramb18,lmfe_ramb18,total_dsp,fft_dsp,lmfe_dsp,max_clock_ns,consumed_cycles,max_freq_mhz,max_throughput_msamples_sec
53,1024,16,13,0.266,0.173,0.093,7807,7242,566,3717,3366,351,4,4,0,58,46,12,15.084,1581,66.29541235746487,687.0234257208755
54,1024,16,15,0.266,0.173,0.093,7809,7242,568,3717,3366,351,4,4,0,58,46,12,15.084,1581,66.29541235746487,687.0234257208755
55,1024,16,20,0.266,0.173,0.093,7809,7242,568,3718,3366,352,4,4,0,58,46,12,15.084,1581,66.29541235746487,687.0234257208755
56,1024,32,10,0.266,0.173,0.093,7806,7242,565,3718,3366,352,4,4,0,58,46,12,15.084,1581,66.29541235746487,1374.046851441751
57,1024,32,13,0.266,0.173,0.093,7809,7242,568,3718,3366,352,4,4,0,58,46,12,15.084,1581,66.29541235746487,1374.046851441751
58,1024,32,15,0.266,0.173,0.093,7805,7242,564,3718,3366,352,4,4,0,58,46,12,15.084,1581,66.29541235746487,1374.046851441751
59,1024,32,20,0.266,0.173,0.093,7810,7242,569,3719,3366,353,4,4,0,58,46,12,15.084,1581,66.29541235746487,1374.046851441751
60,1024,64,10,0.266,0.173,0.093,7807,7242,566,3719,3366,353,4,4,0,58,46,12,15.084,1581,66.29541235746487,2748.093702883502
61,1024,64,13,0.266,0.173,0.093,7807,7242,566,3719,3366,353,4,4,0,58,46,12,15.084,1581,66.29541235746487,2748.093702883502
62,1024,64,15,0.266,0.173,0.093,7808,7242,567,3719,3366,353,4,4,0,58,46,12,15.084,1581,66.29541235746487,2748.093702883502
63,1024,64,20,0.266,0.173,0.093,7813,7242,572,3720,3366,354,4,4,0,58,46,12,15.084,1581,66.29541235746487,2748.093702883502
